path,dict_key,instrument
image.machine,machine,# crossbeam 550 Auto
detection.sem,machine,# crossbeam 550 Manual
application.date,date,# crossbeam 550 Auto
image.detector,imaging_mode,# crossbeam 550 Auto
image.acc_voltage,acc_voltage,# crossbeam 550 Auto
image.aperture_size_value,aperture_size,# crossbeam 550 Auto
scan.dwell,dwel_time,# crossbeam 550 Auto
scan.lineavg,noise_reduction_value,# crossbeam 550 Auto
tilepositionhistory.tilepositionentry.time,frame_time,# crossbeam 550 Auto
tilepositionhistory.tilepositionentry.x,image_size_x,# crossbeam 550 Auto
tilepositionhistory.tilepositionentry.y,image_size_y,# crossbeam 550 Auto
scan.ux,pixel_resolution,# crossbeam 550 Auto
scan.fov_x,image_width,# crossbeam 550 Auto
scan.fov_y,image_height,# crossbeam 550 Auto
mosaicinfo.row,row,# crossbeam 550 Auto
mosaicinfo.col,column,# crossbeam 550 Auto
systemval.file_name,raw_file_name,# crossbeam 550 Auto
systemval.serial_number,machine,# crossbeam 1540
aperture.date,date,"# crossbeam 1540, crossbeam 550 Manual"
detection.detector_channel,detector,"# crossbeam 1540, crossbeam 550 Manual"
systemval.file_name,raw_file_name,"# crossbeam 1540, crossbeam 550 Manual"
detection.signalaz0,imaging_mode,# crossbeam 550 Manual
detection.signalaz2,imaging_mode,# crossbeam 550 Manual
detection.signalaz3,imaging_mode,# crossbeam 550 Manual
aperture.actualkv,acc_voltage,"# crossbeam 1540, crossbeam 550 Manual"
aperture.aperture_size,aperture_size,"# crossbeam 1540, crossbeam 550 Manual"
aperture.esb_grid,esb_grid,"# crossbeam 1540, crossbeam 550 Manual"
aperture.esb_grid_is,esb_grid,"# crossbeam 1540, crossbeam 550 Manual"
aperture.wd,wd,"# crossbeam 1540, crossbeam 550 Manual"
detection.scanrate,scan_speed,"# crossbeam 1540, crossbeam 550 Manual"
detection.dwell_time,dwel_time,"# crossbeam 1540, crossbeam 550 Manual"
detection.noise_reduction,noise_reduction,"# crossbeam 1540, crossbeam 550 Manual"
aperture.nr_coeff,noise_reduction_value,"# crossbeam 1540, crossbeam 550 Manual"
aperture.frame_time,frame_time,"# crossbeam 1540, crossbeam 550 Manual"
detection.image_store,image_size,# crossbeam 550 Manual
aperture.pixel_size,pixel_resolution,"# crossbeam 1540, crossbeam 550 Manual"
aperture.width,image_width,"# crossbeam 1540, crossbeam 550 Manual"
aperture.height,image_height,"# crossbeam 1540, crossbeam 550 Manual"
aperture.mag,magnification,"# crossbeam 1540, crossbeam 550 Manual"
